HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Entrez Gene ID(supplied by NCBI)
HGNC:49667	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	Approved		INXS	20q11.21	KC505631	NR_131907	103021294
HGNC:23	ABAT	4-aminobutyrate aminotransferase	Approved		GABAT	16p13.2	L32961	NM_020686	18
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	Approved	ABC1, HDLDT1	TGD	9q31.1	AJ012376	NM_005502	19
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	Approved	ABC2		9q34.3	U18235	NM_001606	20
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	Approved	ABC3	ABC-C, EST111653, LBM180	16p13.3	U78735	NM_001089	21
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	Approved	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	1p22.1	U88667	NM_000350	24
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5	Approved		EST90625	17q24.3	U66672	NM_018672	23461
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6	Approved		EST155051	17q24.2-q24.3	U66680	NM_080284	23460
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7	Approved		ABCX	19p13.3	AF328787	NM_019112	10347
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8	Approved		KIAA0822	17q24.2	AB020629	NM_007168	10351
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9	Approved		EST640918	17q24.2	AF423307	NM_172386	10350
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1	Approved			17q24.2			104355297
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10	Approved		EST698739	17q24.3	AY247065	NM_080282	10349
HGNC:31	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	Approved	ABCA11	EST1133530, FLJ14297	4p16.3	AK024359	NR_002451.2	79963
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	Approved	ICR2B	DKFZP434G232, LI2	2q35	AF418105	NM_173076	26154
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13	Approved		FLJ33876, FLJ33951	7p12.3	AY204751	NM_152701	154664
HGNC:32972	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	Approved			16p13.3	DQ266102	NR_003574	650655
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	Approved	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20	7q21.12	M14758	NM_000927	5243
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	Approved	PGY3, MDR3	MDR2, PFIC-3, GBD1	7q21.12	M23234	NM_000443	5244
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5	Approved		EST422562, ABCB5beta, ABCB5alpha	7p21.1	U66692	NM_178559	340273
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	Approved		EST45597, umat, MTABC3	2q35	AF070598	NM_005689	10058
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	Approved	ABC7	EST140535, Atm1p, ASAT	Xq13.3	AF038950	NM_004299	22
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8	Approved		EST328128, M-ABC1, MABC1	7q36.1	AF047690	NM_007188	11194
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9	Approved		EST122234	12q24.31	U66676	NM_019624	23457
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10	Approved		EST20237, M-ABC2, MTABC2	1q42.13	U18237	NM_012089	23456
HGNC:14114	ABCB10P1	ATP binding cassette subfamily B member 10 pseudogene 1	Approved	ABCB10P, ABCB10P2	M-ABC2, MABC2	15q11.2	AF218417		56476
HGNC:31129	ABCB10P3	ATP binding cassette subfamily B member 10 pseudogene 3	Approved			15q13.1			728248
HGNC:31130	ABCB10P4	ATP binding cassette subfamily B member 10 pseudogene 4	Approved			15q13.1			100132289
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	Approved	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	2q31.1	AF091582	NM_003742	8647
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1	Approved	MRP, MRP1	GS-X	16p13.11	L05628	NM_004996	4363
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	Approved	CMOAT	DJS, MRP2, cMRP	10q24.2	U63970	NM_000392	1244
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3	Approved		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	17q21.33	Y17151	NM_020038	8714
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4	Approved		MRP4, EST170205, MOAT-B, MOATB	13q32.1	U66682	NM_005845	10257
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5	Approved		MRP5, SMRP, EST277145, MOAT-C	3q27.1	AF104942	NM_005688	10057
HGNC:40055	ABCC5-AS1	ABCC5 antisense RNA 1	Approved			3q27.1			100873982
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6	Approved	ARA, PXE	MRP6, EST349056, MLP1, URG7	16p13.11	AF076622		368
HGNC:33352	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	Approved			16p12.3	BC075833	NR_003569	653190
HGNC:33353	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	Approved			16p13.11		NR_023387	730013
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	Approved	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	11p15.1	L78207	NM_000352	6833
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9	Approved		SUR2, CMD1O	12p12.1	AF061323	NM_005691	10060
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10	Approved		EST182763, MRP7, SIMRP7	6p21.1	U66684	NM_033450	89845
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11	Approved		MRP8	16q12.1	AF367202	NM_032583	85320
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12	Approved		MRP9	16q12.1	AY040220	NM_033226	94160
HGNC:16022	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	Approved		PRED6, C21orf73, ABCC13P	21q11.2	AF418600		150000
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	Approved	ALD	AMN, ALDP, adrenoleukodystrophy	Xq28	Z21876	NM_000033	215
HGNC:62	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1	Approved			2p11.2	U90290		23785
HGNC:63	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2	Approved		bA453N3.6	10p11.1	U90288		26983
HGNC:64	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3	Approved			16p11.2	U90289		26982
HGNC:65	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4	Approved			22q11.1	U90291		26957
HGNC:42662	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5	Approved			2p11.1			642762
HGNC:66	ABCD2	ATP binding cassette subfamily D member 2	Approved	ALDL1	ALDR, ALDRP	12q12	U28150	NM_005164	225
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	Approved	PXMP1	PMP70, ZWS2	1p21.3	M81182	NM_002858	5825
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	Approved	PXMP1L	PMP69, P70R, EST352188	14q24.3	AF009746	NM_005050	5826
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	Approved	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1	4q31.21	X74987	NM_002940	6059
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	Approved	ABC50	EST123147	6p21.33	AF027302		23
HGNC:53628	ABCF1-DT	ABCF1 divergent transcript	Approved			6p21.33			107986587
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2	Approved		EST133090, ABC28, M-ABC1, HUSSY-18	7q36.1	AJ005016	NM_005692	10061
HGNC:48841	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1	Approved			3p11.1			344653
HGNC:48842	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2	Approved			7q11.22			100422059
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3	Approved		EST201864	3q27.1	U66685	NM_018358	55324
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1	Approved		ABC8	21q22.3	U34919	NM_207174	9619
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	Approved		EST157481, MXR, BCRP, ABCP, CD338	4q22.1	AF103796	NM_004827	9429
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4	Approved		WHITE2	11q23.3	AJ300465	NM_022169	64137
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5	Approved		STSL	2p21	T93792	NM_022436	64240
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8	Approved		GBD4	2p21	AF320294	NM_022437	64241
HGNC:17553	ABHD1	abhydrolase domain containing 1	Approved		LABH1, FLJ36128	2p23.3	AK093447	NM_032604	84696
HGNC:18717	ABHD2	abhydrolase domain containing 2	Approved		LABH2	15q26.1	X12433		11057
HGNC:18718	ABHD3	abhydrolase domain containing 3	Approved		LABH3	18q11.2	AK024880		171586
HGNC:20154	ABHD4	abhydrolase domain containing 4	Approved		FLJ12816	14q11.2	AK022878		63874
HGNC:21396	ABHD5	abhydrolase domain containing 5	Approved		CGI-58, NCIE2	3p21.33	AF007132	NM_016006	51099
HGNC:21398	ABHD6	abhydrolase domain containing 6	Approved			3p14.3	AF225418	NM_020676	57406
HGNC:23759	ABHD8	abhydrolase domain containing 8	Approved		FLJ11743, MGC14280, MGC2512	19p13.11	AK021805	NM_024527	79575
HGNC:25656	ABHD10	abhydrolase domain containing 10	Approved		FLJ11342	3q13.2	AL713726	NM_018394	55347
HGNC:16407	ABHD11	abhydrolase domain containing 11	Approved	WBSCR21	PP1226	7q11.23	AF217971		83451
HGNC:18289	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	Approved	WBSCR26, LINC00035	NCRNA00035	7q11.23	BU595969	NR_026690	171022
HGNC:15868	ABHD12	abhydrolase domain containing 12	Approved	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	20p11.21	AL117442	NM_015600	26090
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	Approved	C14orf29	BEM46L3	14q22.1	BG698443		145447
HGNC:20293	ABHD13	abhydrolase domain containing 13	Approved	C13orf6	bA153I24.2, FLJ14906, BEM46L1	13q33.3	AK027812	NM_032859	84945
HGNC:24538	ABHD14A	abhydrolase domain containing 14A	Approved		DKFZP564O243, DORZ1	3p21.2	AY358201	NM_015407	25864
HGNC:38856	ABHD14A-ACY1	ABHD14A-ACY1 readthrough	Approved			3p21.2			100526760
HGNC:28235	ABHD14B	abhydrolase domain containing 14B	Approved		MGC15429, CIB	3p21.2	AK075112	NM_032750	84836
HGNC:26971	ABHD15	abhydrolase domain containing 15	Approved			17q11.2	AK056717	NM_198147	116236
HGNC:49685	ABHD15-AS1	ABHD15 antisense RNA 1	Approved		linc-TP53I13, lnc-TP53I13	17q11.2	CN275323		104355133
HGNC:13921	ABHD16A	abhydrolase domain containing 16A	Approved	BAT5	NG26, D6S82E	6p21.33	AF129756		7920
HGNC:16128	ABHD16B	abhydrolase domain containing 16B	Approved	C20orf135	dJ591C20.1	20q13.33			140701
HGNC:28756	ABHD17A	abhydrolase domain containing 17A	Approved	C19orf27, FAM108A1	MGC5244	19p13.3	BC020512	NM_031213	81926
HGNC:28394	ABHD17AP1	abhydrolase domain containing 17A pseudogene 1	Approved	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47	1q21.2		NG_011738	728917
HGNC:34041	ABHD17AP3	abhydrolase domain containing 17A pseudogene 3	Approved	FAM108A4, FAM108A4P		1q41		XR_041784	648359
HGNC:34042	ABHD17AP4	abhydrolase domain containing 17A pseudogene P4	Approved	FAM108A5, FAM108A5P		22q11.21			729495
HGNC:34043	ABHD17AP5	abhydrolase domain containing 17A pseudogene 5	Approved	FAM108A6, FAM108A6P		22q11.22			91219
HGNC:34044	ABHD17AP6	abhydrolase domain containing 17A pseudogene 6	Approved	FAM108A7P		17p11.2			644988
HGNC:38508	ABHD17AP7	abhydrolase domain containing 17A pseudogene 7	Approved	FAM108A8P		16p11.2			100133212
HGNC:38509	ABHD17AP8	abhydrolase domain containing 17A pseudogene 8	Approved	FAM108A9P		16p11.2			647144
HGNC:38510	ABHD17AP9	abhydrolase domain containing 17A pseudogene 9	Approved	FAM108A10P		16p11.2			100132251
HGNC:24278	ABHD17B	abhydrolase domain containing 17B	Approved	C9orf77, FAM108B1	CGI-67	9q21.13	AF151825	NM_016014	51104
HGNC:26925	ABHD17C	abhydrolase domain containing 17C	Approved	FAM108C1		15q25.1		NM_021214	58489
HGNC:26111	ABHD18	abhydrolase domain containing 18	Approved	C4orf29	FLJ21106	4q28.2	AK024759	NM_001039717	80167
HGNC:11320	ABI1	abl interactor 1	Approved	SSH3BP1	E3B1, ABI-1	10p12.1	U87166	NM_005470	10006
HGNC:20035	ABI1P1	abl interactor 1 pseudogene 1	Approved	SSH3BP1P, ABI1P		14q22.3			326268
HGNC:24011	ABI2	abl interactor 2	Approved		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	2q33.2	AF260261	NM_005759	10152
HGNC:29859	ABI3	ABI family member 3	Approved		NESH, SSH3BP3	17q21.32	AB037886	NM_016428	51225
HGNC:17265	ABI3BP	ABI family member 3 binding protein	Approved		NESHBP, DKFZP586L2024, TARSH	3q12.2	AB056106		25890
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	Approved	ABL	JTK7, c-ABL, p150	9q34.12	M14752	NM_007313	25
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	Approved	ABLL	ARG	1q25.2	M14904	NM_005158	27
HGNC:78	ABLIM1	actin binding LIM protein 1	Approved	LIMAB1, ABLIM	abLIM, limatin	10q25.3	AF005654		3983
HGNC:19195	ABLIM2	actin binding LIM protein family member 2	Approved		KIAA1808	4p16.1	AB058711	NM_001130083	84448
HGNC:29132	ABLIM3	actin binding LIM protein family member 3	Approved		KIAA0843	5q32	AB020650	NM_014945	22885
HGNC:79	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	Approved		A3GALNT, A3GALT1	9q34.2	AF134415	NM_020469	28
HGNC:81	ABR	active BCR-related	Approved		MDB	17p13.3	L19704		29
HGNC:30655	ABRA	actin binding Rho activating protein	Approved		STARS	8q23.1	AF503617	NM_139166	137735
HGNC:21230	ABRACL	ABRA C-terminal like	Approved	C6orf115	PRO2013, HSPC280, Costars	6q24.1	BC014953	NM_021243	58527
HGNC:25829	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	Approved	CCDC98, FAM175A	FLJ13614, ABRA1, ABRAXAS	4q21.23	AK023676	NM_139076	84142
HGNC:28975	ABRAXAS2	abraxas 2, BRISC complex subunit	Approved	KIAA0157, FAM175B	Em:AC068896.4, ABRO1	10q26.13	D63877	NM_032182	23172
HGNC:17369	ABT1	activator of basal transcription 1	Approved		Esf2	6p22.2	AB027258		29777
HGNC:39557	ABT1P1	activator of basal transcription 1 pseudogene 1	Approved			4q23		NG_025142	100420695
HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1	Approved		BPOZ, EF1ABP, Btb3, BTBD21	3q21.3	AB053324	NM_172027	80325
HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2	Approved		DKFZP586C1619, BTBD22, ABTB2A	11p13	AK056863	NM_145804	25841
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1	Approved			3p22.2	X14813	NM_001607	30
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2	Approved		DSAEC	18q21.1	D16294	NM_006111	10449
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	Approved	ACAC, ACC	ACC1	17q12	U19822	NM_198836	31
HGNC:85	ACACB	acetyl-CoA carboxylase beta	Approved		HACC275, ACC2, ACCB	12q24.11	U89344	NM_001093	32
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8	Approved			11q25	AF126245	NM_014384	27034
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9	Approved		NPD002, MGC14452	3q21.3	AF078854	NM_014049	28976
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10	Approved		MGC5601	12q24.12	AY323912	NM_025247	80724
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family member 11	Approved		FLJ12592	3q22.1	BC019607	NM_032169	84129
HGNC:88	ACADL	acyl-CoA dehydrogenase long chain	Approved		LCAD, ACAD4	2q34	M74096	NM_001608	33
HGNC:89	ACADM	acyl-CoA dehydrogenase medium chain	Approved		MCAD, MCADH, ACAD1	1p31.1	M16827		34
HGNC:90	ACADS	acyl-CoA dehydrogenase short chain	Approved		SCAD, ACAD3	12q24.31	M26393	NM_000017	35
HGNC:91	ACADSB	acyl-CoA dehydrogenase short/branched chain	Approved		SBCAD, ACAD7	10q26.13	U12778	NM_001609	36
HGNC:92	ACADVL	acyl-CoA dehydrogenase very long chain	Approved		VLCAD, LCACD, ACAD6	17p13.1	BC012912	NM_000018	37
HGNC:319	ACAN	aggrecan	Approved	MSK16, CSPG1, AGC1	CSPGCP	15q26.1	M55172	NM_001135	176
HGNC:16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	Approved	CENTB1	KIAA0050	17p13.1	D30758	NM_014716	9744
HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	Approved	CENTB2	KIAA0041, CNT-B2	3q29		NM_012287	23527
HGNC:41426	ACAP2-IT1	ACAP2 intronic transcript 1	Approved			3q29			100874306
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	Approved	CENTB5	KIAA1716	1p36.33	AF411981	NM_030649	116983
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	Approved	ACAT	THIL	11q22.3	D90228	NM_000019	38
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2	Approved			6q25.3	AF356877	NM_005891	39
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	Approved	GOLPH1, GOCAP1	GCP60, PAP7	1q42.12	AB043587	NM_022735	64746
HGNC:40701	ACBD3-AS1	ACBD3 antisense RNA 1	Approved		RP11-275I14.4	1q42.12	AW511419	NR_146443	107985353
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4	Approved		FLJ13322	17q21.31	BC029164	NM_024722	79777
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5	Approved		DKFZp434A2417, KIAA1996	10p12.1	AF505653	NM_145698	91452
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6	Approved		MGC2404	1q25.2-q25.3	BC006505	NM_032360	84320
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7	Approved		FLJ38219, bA455B2.2	10p13	AK095538		414149
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	Approved		PHACS, ACS	11p11.2	AY026508	NM_032592	84680
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	Approved			11p11.2		NM_001031854	390110
HGNC:25070	ACD	ACD, shelterin complex subunit and telomerase recruitment factor	Approved		Ptop, Pip1, Tpp1, Tint1	16q22.1	AF070535	NM_022914	65057
HGNC:2707	ACE	angiotensin I converting enzyme	Approved	DCP1	ACE1, CD143	17q23.3	J04144		1636
HGNC:13557	ACE2	angiotensin I converting enzyme 2	Approved			Xp22.2	AF291820		59272
HGNC:44365	ACE3P	angiotensin I converting enzyme 3, pseudogene	Approved			17q23.3			100129123
HGNC:18356	ACER1	alkaline ceramidase 1	Approved	ASAH3		19p13.3	AF347024	NM_133492	125981
HGNC:23675	ACER2	alkaline ceramidase 2	Approved	ASAH3L	FLJ41587, ALKCDase2	9p22.1	AK123581	NM_001010887	340485
HGNC:16066	ACER3	alkaline ceramidase 3	Approved	PHCA	FLJ11238, APHC	11q13.5	AF214454	NM_018367	55331
HGNC:108	ACHE	acetylcholinesterase (Cartwright blood group)	Approved	YT		7q22.1		NM_015831	43
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	Approved	ACINUS	KIAA0670, fSAP152	14q11.2	AB014570	NM_014977	22985
HGNC:4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	Approved	FY, DARC	CCBP1, GPD, Dfy, CD234	1q23.2	U01839	NM_002036	2532
HGNC:1565	ACKR2	atypical chemokine receptor 2	Approved	CMKBR9, CCBP2	CCR10, D6, CCR9	3p22.1	U94888	NM_001296	1238
HGNC:23692	ACKR3	atypical chemokine receptor 3	Approved	CMKOR1, CXCR7	RDC1, GPR159	2q37.3	BC008459	NM_020311	57007
HGNC:1611	ACKR4	atypical chemokine receptor 4	Approved	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	3q22.1	AF110640	NM_016557	51554
HGNC:114	ACLS	acrocallosal syndrome	Approved			12p13.3-p11.2			46
HGNC:115	ACLY	ATP citrate lyase	Approved		ATPCL, CLATP, ACL	17q21.2	X64330	NM_001096	47
HGNC:19288	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	Approved			2q21.3	AB071418		130013
HGNC:117	ACO1	aconitase 1	Approved	IREB1	IRP1, IREBP	9p21.1	M58510	NM_002197	48
HGNC:118	ACO2	aconitase 2	Approved		ACONM	22q13.2	AH006514	NM_001098	50
HGNC:33904	ACOD1	aconitate decarboxylase 1	Approved	IRG1	CAD	13q22.3		NM_001258406	730249
HGNC:33128	ACOT1	acyl-CoA thioesterase 1	Approved		ACH2, CTE-1, LACH2	14q24.3	DQ082754	NM_001037161	641371
HGNC:18431	ACOT2	acyl-CoA thioesterase 2	Approved		Mte1, ZAP128	14q24.3	AY005822, AK001939	NM_006821	10965
HGNC:19748	ACOT4	acyl-CoA thioesterase 4	Approved		FLJ31235, PTE-Ib, PTE2B	14q24.3	BC031799	NM_152331	122970
HGNC:33159	ACOT6	acyl-CoA thioesterase 6	Approved	C14orf42		14q24.3	DQ082756, BF109853	NM_001037162	641372
HGNC:24157	ACOT7	acyl-CoA thioesterase 7	Approved		BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH	1p36.31	AB074417	NM_007274	11332
HGNC:15919	ACOT8	acyl-CoA thioesterase 8	Approved	PTE1	hACTE-III, hTE, PTE-2, NAP1	20q13.12	AF014404	NM_183386	10005
